game_id,attend,team_hs,team_hs_pts,opp_hs,opp_hs_pts
201411010OKC,18203,Ibaka,23,Lawson,25
201411070OKC,18203,Jackson,22,Conley,20
201411090OKC,18203,Jackson,22,Gay,23
201411140OKC,18203,Lamb,24,Jennings,29
201411160OKC,18203,Jackson,15,Harden,19
201411210OKC,18203,Jackson,21,Jack,23
201411230OKC,18203,Jackson,22,Speights,28
201411260OKC,18203,Jackson,22,Hayward,24
201411280OKC,18203,Westbrook,32,Stoudemire,20
201412090OKC,18203,Westbrook,28,Mayo,18
201412110OKC,18203,Westbrook,26,Irving,20
201412140OKC,18203,Westbrook,23,Green,15
201412210OKC,18203,Westbrook,29,Davis,38
201412230OKC,18203,Westbrook,40,Lillard,40
201412260OKC,18203,Westbrook,29,Roberts,17
201412310OKC,18203,Durant,44,Bledsoe,29
201501020OKC,18203,Durant,34,Beal,21
201501090OKC,18203,Durant,32,Hayward,27
201501160OKC,18203,Durant,36,Thompson,32
201501260OKC,18203,Westbrook,18,Wiggins,23
201502020OKC,18203,Westbrook,25,Oladipo,22
201502060OKC,18203,Westbrook,48,Davis,41
201502080OKC,18203,Durant,29,Crawford,21
201502110OKC,18203,Durant,26,Randolph,16
201502190OKC,18203,Westbrook,34,Nowitzki,14
201502220OKC,18203,Westbrook,21,Lawson,17
201502240OKC,18203,Ibaka,23,Miles,21
201503040OKC,18203,Westbrook,49,Canaan,31
201503080OKC,18203,Westbrook,30,DeRozan,24
201503110OKC,18203,Morrow,26,Paul,33
201503130OKC,18203,Westbrook,29,Dieng,21
201503150OKC,18203,Westbrook,36,Mirotic,27
201503180OKC,18203,Westbrook,36,Smart,25
201503200OKC,18203,Westbrook,36,Antic,22
201503220OKC,18203,Freedom,27,Whiteside,13
201503240OKC,18203,Westbrook,27,Clarkson,30
201504010OKC,18203,Morrow,32,Ellis,26
201504050OKC,18203,Westbrook,40,Harden,41
201504070OKC,18203,Westbrook,17,Leonard,26
201504100OKC,18203,Westbrook,27,McLemore,20
201504130OKC,18203,Westbrook,36,Leonard,24